product_id,product_name,category,subcategory,cost_price
1,Where Kid,Clothing,Kids,161.7
2,Town Bedding,Home,Bedding,258.95
3,Because Audio,Electronics,Audio,63.89
4,Federal Non-Fiction,Books,Non-Fiction,147.24
5,Piece Academic,Books,Academic,433.06
6,Under Kid,Clothing,Kids,361.4
7,Of Women,Clothing,Women,258.82
8,Issue Children,Books,Children,47.75
9,Even Academic,Books,Academic,109.93
10,Current Kitchen,Home,Kitchen,299.97
11,Accept Children,Books,Children,424.04
12,Security Non-Fiction,Books,Non-Fiction,364.57
13,Six Children,Books,Children,286.43
14,Strategy Kid,Clothing,Kids,39.55
15,Account Children,Books,Children,312.75
16,Participant Laptop,Electronics,Laptops,198.77
17,Necessary Decor,Home,Decor,101.93
18,Buy Fiction,Books,Fiction,357.66
19,Nature Academic,Books,Academic,166.0
20,Account Furniture,Home,Furniture,309.4
21,How Decor,Home,Decor,256.33
22,Real Children,Books,Children,11.27
23,Describe Kitchen,Home,Kitchen,293.1
24,Rise Accessorie,Electronics,Accessories,328.83
25,Summer Men,Clothing,Men,87.74
26,Four Non-Fiction,Books,Non-Fiction,123.37
27,Issue Laptop,Electronics,Laptops,211.13
28,High Non-Fiction,Books,Non-Fiction,388.16
29,Both Fiction,Books,Fiction,260.79
30,Clear Bedding,Home,Bedding,158.94
31,Last Footwear,Clothing,Footwear,173.14
32,Reach Decor,Home,Decor,98.56
33,Pay Kid,Clothing,Kids,114.76
34,Environment Decor,Home,Decor,346.05
35,Every Children,Books,Children,281.56
36,Top Decor,Home,Decor,448.19
37,North Children,Books,Children,402.89
38,Land Kitchen,Home,Kitchen,357.93
39,Other Bedding,Home,Bedding,374.43
40,History Women,Clothing,Women,137.75
41,Population Furniture,Home,Furniture,123.5
42,Fact Women,Clothing,Women,167.16
43,Response Fiction,Books,Fiction,71.32
44,Industry Footwear,Clothing,Footwear,440.68
45,Someone Academic,Books,Academic,378.69
46,Democrat Decor,Home,Decor,32.4
47,Job Laptop,Electronics,Laptops,362.39
48,Old Laptop,Electronics,Laptops,419.29
49,Step Accessorie,Electronics,Accessories,95.6
50,Onto Kitchen,Home,Kitchen,464.44
51,Meeting Decor,Home,Decor,321.73
52,Country Non-Fiction,Books,Non-Fiction,235.61
53,Hospital Men,Clothing,Men,366.37
54,Operation Furniture,Home,Furniture,396.01
55,One Women,Clothing,Women,320.45
56,Member Academic,Books,Academic,46.11
57,Environment Laptop,Electronics,Laptops,240.29
58,Food Men,Clothing,Men,120.05
59,Participant Decor,Home,Decor,362.27
60,Guy Audio,Electronics,Audio,347.31
61,Staff Phone,Electronics,Phones,82.38
62,Season Kitchen,Home,Kitchen,470.5
63,Information Furniture,Home,Furniture,69.38
64,Simply Footwear,Clothing,Footwear,304.05
65,Certainly Academic,Books,Academic,401.59
66,Top Women,Clothing,Women,299.12
67,Treat Accessorie,Electronics,Accessories,182.81
68,Receive Phone,Electronics,Phones,451.74
69,By Women,Clothing,Women,427.68
70,Small Fiction,Books,Fiction,359.31
71,Drug Fiction,Books,Fiction,224.4
72,Likely Accessorie,Electronics,Accessories,230.03
73,Stay Accessorie,Electronics,Accessories,156.16
74,Scene Accessorie,Electronics,Accessories,4.5
75,Color Men,Clothing,Men,351.09
76,Black Phone,Electronics,Phones,237.62
77,Difficult Bedding,Home,Bedding,70.31
78,Movie Children,Books,Children,193.09
79,Institution Academic,Books,Academic,327.81
80,Stock Kitchen,Home,Kitchen,270.02
81,Ground Women,Clothing,Women,378.82
82,Suddenly Bedding,Home,Bedding,273.59
83,Oil Non-Fiction,Books,Non-Fiction,175.04
84,Positive Furniture,Home,Furniture,363.34
85,Same Phone,Electronics,Phones,211.36
86,Return Laptop,Electronics,Laptops,53.15
87,Seat Accessorie,Electronics,Accessories,352.53
88,Area Laptop,Electronics,Laptops,202.93
89,College Women,Clothing,Women,388.7
90,Improve Kid,Clothing,Kids,458.45
91,Provide Decor,Home,Decor,438.5
92,Accept Footwear,Clothing,Footwear,33.3
93,Summer Footwear,Clothing,Footwear,26.3
94,Benefit Bedding,Home,Bedding,161.41
95,Than Academic,Books,Academic,94.39
96,Check Non-Fiction,Books,Non-Fiction,152.47
97,Market Footwear,Clothing,Footwear,282.51
98,With Non-Fiction,Books,Non-Fiction,129.73
99,Plan Kitchen,Home,Kitchen,424.03
100,Learn Laptop,Electronics,Laptops,337.81
101,Behavior Phone,Electronics,Phones,381.56
102,Attack Footwear,Clothing,Footwear,453.8
103,Everyone Kitchen,Home,Kitchen,97.44
104,Doctor Accessorie,Electronics,Accessories,348.73
105,Hospital Footwear,Clothing,Footwear,277.38
106,Base Bedding,Home,Bedding,325.41
107,Politics Decor,Home,Decor,441.76
108,Always Fiction,Books,Fiction,362.04
109,Shake Furniture,Home,Furniture,208.72
110,If Women,Clothing,Women,149.71
111,Word Kid,Clothing,Kids,286.19
112,Institution Footwear,Clothing,Footwear,471.9
113,Positive Decor,Home,Decor,245.84
114,Reality Academic,Books,Academic,398.1
115,Near Women,Clothing,Women,245.69
116,Few Phone,Electronics,Phones,39.94
117,Seek Phone,Electronics,Phones,421.74
118,Picture Men,Clothing,Men,7.54
119,Art Children,Books,Children,330.66
120,Young Phone,Electronics,Phones,207.44
121,Staff Audio,Electronics,Audio,145.48
122,Ten Non-Fiction,Books,Non-Fiction,263.62
123,Continue Women,Clothing,Women,128.45
124,Push Decor,Home,Decor,42.27
125,Miss Academic,Books,Academic,495.15
126,Leg Kid,Clothing,Kids,424.39
127,Action Phone,Electronics,Phones,190.45
128,Defense Fiction,Books,Fiction,352.31
129,To Accessorie,Electronics,Accessories,323.52
130,Realize Kitchen,Home,Kitchen,459.82
131,Word Women,Clothing,Women,347.07
132,Summer Children,Books,Children,343.16
133,National Kitchen,Home,Kitchen,425.66
134,Feeling Laptop,Electronics,Laptops,376.87
135,Day Fiction,Books,Fiction,283.29
136,Along Children,Books,Children,370.65
137,Step Audio,Electronics,Audio,118.38
138,Place Audio,Electronics,Audio,308.09
139,Mrs Children,Books,Children,392.42
140,Name Academic,Books,Academic,277.86
141,Say Academic,Books,Academic,294.18
142,Each Fiction,Books,Fiction,149.8
143,Possible Men,Clothing,Men,191.86
144,Condition Footwear,Clothing,Footwear,55.96
145,Represent Audio,Electronics,Audio,381.39
146,Also Laptop,Electronics,Laptops,226.08
147,Here Fiction,Books,Fiction,278.45
148,Edge Bedding,Home,Bedding,195.74
149,Real Laptop,Electronics,Laptops,87.28
150,A Non-Fiction,Books,Non-Fiction,136.4
151,Coach Men,Clothing,Men,140.15
152,Before Bedding,Home,Bedding,182.48
153,Fact Footwear,Clothing,Footwear,100.19
154,State Laptop,Electronics,Laptops,474.57
155,Instead Bedding,Home,Bedding,166.78
156,Head Bedding,Home,Bedding,430.18
157,Relationship Kid,Clothing,Kids,473.8
158,Indicate Footwear,Clothing,Footwear,482.39
159,Into Decor,Home,Decor,317.55
160,Peace Kid,Clothing,Kids,408.8
161,Deep Children,Books,Children,297.34
162,National Men,Clothing,Men,232.43
163,Administration Footwear,Clothing,Footwear,416.15
164,Since Accessorie,Electronics,Accessories,72.17
165,Score Furniture,Home,Furniture,79.61
166,Authority Academic,Books,Academic,292.38
167,Wide Fiction,Books,Fiction,181.69
168,Believe Phone,Electronics,Phones,329.83
169,Often Furniture,Home,Furniture,25.02
170,Feel Children,Books,Children,216.94
171,She Phone,Electronics,Phones,256.81
172,Themselves Footwear,Clothing,Footwear,233.14
173,Operation Kid,Clothing,Kids,242.94
174,Who Bedding,Home,Bedding,45.67
175,Pass Kid,Clothing,Kids,229.3
176,Happen Footwear,Clothing,Footwear,51.52
177,Hand Children,Books,Children,405.66
178,Team Phone,Electronics,Phones,325.04
179,Factor Women,Clothing,Women,277.3
180,Draw Bedding,Home,Bedding,118.23
181,Police Non-Fiction,Books,Non-Fiction,329.68
182,Day Fiction,Books,Fiction,441.9
183,Look Academic,Books,Academic,353.25
184,Wonder Kid,Clothing,Kids,404.94
185,International Phone,Electronics,Phones,269.83
186,Paper Decor,Home,Decor,59.64
187,Above Children,Books,Children,306.82
188,Every Audio,Electronics,Audio,230.56
189,Continue Kid,Clothing,Kids,296.31
190,Investment Kid,Clothing,Kids,61.12
191,Move Furniture,Home,Furniture,210.86
192,Both Footwear,Clothing,Footwear,244.88
193,Operation Women,Clothing,Women,72.73
194,Baby Bedding,Home,Bedding,433.16
195,Most Accessorie,Electronics,Accessories,482.02
196,Financial Academic,Books,Academic,209.57
197,Grow Academic,Books,Academic,284.0
198,Your Kid,Clothing,Kids,270.19
199,But Footwear,Clothing,Footwear,386.96
200,Suggest Fiction,Books,Fiction,136.14
201,Must Kitchen,Home,Kitchen,222.36
202,Even Footwear,Clothing,Footwear,150.96
203,Under Accessorie,Electronics,Accessories,431.51
204,Note Accessorie,Electronics,Accessories,61.34
205,Tax Women,Clothing,Women,295.2
206,Student Bedding,Home,Bedding,72.2
207,Paper Women,Clothing,Women,286.33
208,Enough Furniture,Home,Furniture,352.91
209,Rule Decor,Home,Decor,258.66
210,Level Laptop,Electronics,Laptops,393.49
211,Huge Audio,Electronics,Audio,66.06
212,Order Women,Clothing,Women,414.76
213,Member Academic,Books,Academic,315.02
214,Speech Academic,Books,Academic,203.22
215,Either Decor,Home,Decor,245.56
216,Sometimes Phone,Electronics,Phones,230.85
217,Group Kitchen,Home,Kitchen,200.66
218,Stand Non-Fiction,Books,Non-Fiction,163.46
219,Low Decor,Home,Decor,67.91
220,Responsibility Children,Books,Children,381.84
221,Magazine Phone,Electronics,Phones,418.84
222,Watch Phone,Electronics,Phones,81.52
223,Peace Fiction,Books,Fiction,215.62
224,Training Kid,Clothing,Kids,466.56
225,Ahead Kitchen,Home,Kitchen,127.44
226,Meet Furniture,Home,Furniture,363.82
227,But Footwear,Clothing,Footwear,352.74
228,Evening Laptop,Electronics,Laptops,68.95
229,Author Footwear,Clothing,Footwear,409.1
230,Idea Non-Fiction,Books,Non-Fiction,116.79
231,Property Phone,Electronics,Phones,440.85
232,Story Footwear,Clothing,Footwear,377.32
233,Discussion Women,Clothing,Women,306.33
234,Research Footwear,Clothing,Footwear,108.89
235,Science Footwear,Clothing,Footwear,222.86
236,Drug Men,Clothing,Men,72.59
237,Such Accessorie,Electronics,Accessories,216.41
238,Four Women,Clothing,Women,44.87
239,Itself Kitchen,Home,Kitchen,330.23
240,Head Furniture,Home,Furniture,256.23
241,Name Children,Books,Children,392.55
242,North Footwear,Clothing,Footwear,122.82
243,Act Phone,Electronics,Phones,467.16
244,School Footwear,Clothing,Footwear,285.49
245,There Furniture,Home,Furniture,477.36
246,Everyone Phone,Electronics,Phones,9.86
247,Energy Men,Clothing,Men,474.49
248,Field Children,Books,Children,252.02
249,Better Academic,Books,Academic,43.97
250,Inside Kid,Clothing,Kids,257.12
