order_item_id,order_id,product_id,quantity,unit_price,discount_percent
1,1,111,1,420.5,25
2,1,234,1,131.94,0
3,1,165,1,133.92,5
4,2,13,3,383.4,10
5,3,101,3,568.67,30
6,4,210,2,688.58,0
7,4,202,1,251.63,15
8,4,112,2,813.25,20
9,4,48,2,739.36,0
10,5,239,3,522.13,0
11,5,79,4,487.86,10
12,6,96,5,237.61,0
13,6,211,5,111.69,0
14,6,21,3,456.7,15
15,7,180,5,200.68,5
16,7,169,1,32.8,0
17,8,61,2,144.48,25
18,8,109,5,347.19,5
19,8,143,3,267.18,0
20,8,172,3,322.47,15
21,9,129,3,451.83,25
22,10,235,1,274.42,0
23,10,117,4,583.84,15
24,10,92,3,55.39,30
25,11,29,4,443.33,10
26,11,147,3,410.9,5
27,11,60,5,518.53,5
28,12,108,1,452.51,5
29,12,134,2,659.92,0
30,13,208,1,616.94,0
31,13,122,3,347.39,20
32,14,81,4,495.85,20
33,15,238,2,62.66,30
34,15,132,1,528.03,25
35,16,223,1,308.1,25
36,16,239,4,428.49,0
37,16,58,4,159.18,10
38,17,68,3,805.45,0
39,17,29,5,320.49,25
40,17,5,2,657.72,15
41,17,181,5,412.43,30
42,18,44,4,700.83,30
43,18,77,5,110.5,15
44,18,144,3,97.73,25
45,19,194,5,654.91,0
46,19,19,5,243.13,30
47,19,230,1,186.58,10
48,20,164,4,112.95,25
49,20,85,5,348.82,10
50,21,203,2,586.65,0
51,22,134,2,475.94,0
52,22,129,4,454.56,0
53,22,148,4,263.75,0
54,22,235,1,312.44,0
55,23,214,4,256.71,15
56,23,144,4,96.08,5
57,24,23,3,462.16,30
58,24,194,1,707.41,15
59,24,173,1,349.04,5
60,25,3,5,86.2,25
61,26,90,4,583.5,0
62,26,84,1,616.16,0
63,26,84,2,449.31,25
64,27,232,5,530.49,20
65,28,235,2,326.25,30
66,28,103,2,150.16,0
67,29,140,4,387.07,10
68,29,64,3,380.54,20
69,29,125,3,762.96,0
70,30,64,5,436.53,0
71,30,234,4,146.35,0
72,30,140,4,432.54,15
73,31,46,4,49.01,10
74,31,181,1,530.71,0
75,31,179,3,409.6,5
76,32,105,1,470.7,0
77,32,172,1,358.13,5
78,32,37,2,601.1,30
79,33,163,3,564.09,30
80,33,59,2,563.4,20
81,33,12,4,529.0,0
82,34,130,3,699.82,30
83,34,70,3,618.98,5
84,35,138,4,508.09,25
85,35,69,1,741.15,20
86,35,246,1,15.14,20
87,36,199,1,631.71,5
88,36,195,1,729.6,5
89,36,114,3,633.43,5
90,37,104,4,477.89,10
91,37,184,1,487.98,0
92,38,50,4,700.19,0
93,38,102,3,580.84,0
94,38,18,2,569.8,5
95,39,186,4,94.91,0
96,40,17,4,123.52,10
97,40,56,3,59.75,5
98,40,165,5,99.13,10
99,41,37,5,664.93,0
100,41,189,2,454.78,10
101,42,53,3,479.94,25
102,42,204,-3,78.91,5
103,42,26,5,156.03,5
104,42,135,4,413.31,25
105,43,115,2,397.2,0
106,43,9,2,171.13,20
107,43,18,2,551.78,30
108,43,3,4,89.66,0
109,44,63,5,88.94,0
110,44,56,1,72.36,0
111,44,44,1,571.19,20
112,44,191,1,317.47,25
113,45,7,3,435.48,10
114,46,127,2,241.22,0
115,47,117,2,571.08,0
116,48,76,2,407.3,0
117,48,102,3,548.75,10
118,48,37,1,714.17,10
119,49,205,2,503.48,0
120,49,47,3,526.34,5
121,49,121,4,210.27,10
122,49,7,2,461.3,15
123,50,150,1,207.88,0
124,50,148,3,313.27,30
125,50,216,4,289.61,20
126,51,188,5,360.59,10
127,51,110,5,250.72,0
128,51,98,1,233.45,10
129,52,7,2,389.96,30
130,52,145,1,482.73,0
131,52,77,4,86.21,30
132,53,101,2,597.05,15
133,53,72,5,350.61,25
134,54,130,2,595.3,30
135,55,111,1,375.62,0
136,55,187,2,458.7,15
137,55,1,-2,279.29,0
138,56,64,4,509.58,0
139,56,1,5,244.12,0
140,56,31,-1,249.97,0
141,56,193,2,119.63,0
142,57,240,5,377.7,25
143,57,159,1,389.58,15
144,58,242,5,210.36,10
145,59,13,5,347.68,30
146,60,64,1,444.14,5
147,60,22,5,19.81,15
148,61,178,5,440.59,10
149,61,5,3,568.81,0
150,61,53,2,510.85,20
151,62,97,5,498.93,10
152,62,181,4,449.68,0
153,62,25,2,108.37,0
154,63,177,2,610.19,30
155,64,248,4,302.59,30
156,64,228,3,85.64,0
157,64,203,2,754.13,0
158,65,89,-1,698.67,0
159,65,25,5,157.54,30
160,66,141,4,373.53,0
161,67,89,3,598.08,20
162,67,9,5,135.93,0
163,67,105,1,336.77,5
164,68,23,2,356.93,0
165,68,237,1,341.12,0
166,68,232,5,512.66,0
167,68,110,3,218.75,10
168,69,249,2,75.86,25
