order_id,customer_id,order_date,status,region_code
1,335,2023-11-12 15:45:05,DELIVERED,WEST
2,448,2025-10-06 11:46:25,PLACED,SOUTH
3,57,2023-05-14 22:14:45,DELIVERED,EAST
4,141,2025-10-19 05:58:12,SHIPPED,NORTH
5,266,2024-06-22 14:06:14,DELIVERED,SOUTH
6,31,2024-02-22 12:15:58,CANCELLED,EAST
7,591,2024-02-27 12:10:17,DELIVERED,NORTH
8,581,2025-03-04 11:19:43,DELIVERED,SOUTH
9,119,2024-02-01 07:25:00,DELIVERED,SOUTH
10,251,04-01-2023,DELIVERED,NORTH
11,37,2024-08-17 22:30:34,CANCELLED,CENTRAL
12,427,2025-10-15 14:23:26,DELIVERED,EAST
13,54,2023-05-01 23:50:25,SHIPPED,SOUTH
14,71,2025-03-12 05:27:11,CANCELLED,WEST
15,9,2024-04-27 15:39:09,SHIPPED,EAST
16,249,2025-05-25 20:14:19,DELIVERED,WEST
17,560,2025-02-05 09:49:08,SHIPPED,SOUTH
18,10,28-09-2024,PLACED,EAST
19,315,2025-10-18 02:03:49,SHIPPED,NORTH
20,146,2024-01-05 23:31:53,PLACED,EAST
21,382,2023-12-26 13:55:22,RETURNED,WEST
22,404,2023-05-12 21:23:29,DELIVERED,NORTH
23,243,2023-04-07 18:04:24,DELIVERED,EAST
24,335,2024-05-04 08:23:00,DELIVERED,EAST
25,599,29-12-2023,SHIPPED,NORTH
26,124,2023-09-13 08:20:36,DELIVERED,CENTRAL
27,123,2023-11-19 13:14:22,SHIPPED,NORTH
28,42,2025-12-01 17:58:42,CANCELLED,SOUTH
29,365,2024-05-24 05:02:00,DELIVERED,WEST
30,179,2025-11-17 23:13:34,RETURNED,NORTH
31,97,2024-12-03 11:16:53,SHIPPED,WEST
32,228,2023-08-06 03:51:44,SHIPPED,SOUTH
33,87,2024-09-14 06:46:20,DELIVERED,CENTRAL
34,455,27-04-2023,PLACED,SOUTH
35,52,2024-05-30 01:04:33,RETURNED,SOUTH
36,31,2024-11-03 21:14:24,DELIVERED,WEST
37,282,2023-09-26 10:43:11,DELIVERED,EAST
38,252,19-08-2023,DELIVERED,EAST
39,393,2025-05-05 11:09:41,DELIVERED,SOUTH
40,557,2025-09-25 07:49:21,RETURNED,NORTH
41,353,2024-07-11 20:40:11,DELIVERED,CENTRAL
42,,2024-08-26 07:54:12,SHIPPED,CENTRAL
43,543,12-03-2024,DELIVERED,EAST
44,247,2023-12-28 14:00:03,DELIVERED,EAST
45,590,2023-03-28 20:25:32,DELIVERED,WEST
46,368,2023-09-27 20:27:14,PLACED,CENTRAL
47,146,2025-12-24 06:47:59,RETURNED,CENTRAL
48,39,2025-02-03 15:32:32,PLACED,NORTH
49,1,2025-07-23 15:36:52,RETURNED,EAST
50,182,2023-11-09 23:08:11,PLACED,EAST
51,114,2023-08-18 11:06:11,CANCELLED,CENTRAL
52,406,2023-04-23 16:10:27,SHIPPED,CENTRAL
53,448,2024-04-13 18:37:13,DELIVERED,WEST
54,366,2023-09-28 14:44:46,DELIVERED,SOUTH
55,302,2023-09-30 09:34:57,SHIPPED,SOUTH
56,401,2023-01-03 19:01:50,PLACED,CENTRAL
57,227,2025-07-24 18:40:38,SHIPPED,CENTRAL
58,244,2025-02-09 19:07:11,RETURNED,EAST
59,344,2023-09-18 19:17:47,PLACED,WEST
60,263,2023-11-22 17:35:48,DELIVERED,NORTH
61,171,2023-03-16 19:04:02,DELIVERED,WEST
62,491,2024-08-11 07:25:41,DELIVERED,CENTRAL
63,35,2025-12-03 11:11:48,PLACED,EAST
64,175,2024-02-10 15:32:47,SHIPPED,WEST
65,96,2023-04-27 12:17:34,DELIVERED,EAST
66,442,2025-08-11 06:20:00,DELIVERED,SOUTH
67,211,2024-11-05 12:09:49,DELIVERED,SOUTH
68,272,2025-05-10 18:48:31,DELIVERED,EAST
69,503,30-05-2023,PLACED,SOUTH
70,492,2023-01-06 22:15:17,PLACED,SOUTH
71,84,2023-11-18 11:45:59,CANCELLED,WEST
72,272,2024-04-24 00:14:52,DELIVERED,NORTH
73,379,2024-08-25 00:03:29,DELIVERED,SOUTH
74,276,2024-02-14 00:23:06,PLACED,CENTRAL
75,353,2025-12-17 22:19:08,DELIVERED,CENTRAL
76,397,2025-07-05 02:35:43,DELIVERED,CENTRAL
77,587,2025-04-11 21:25:27,DELIVERED,SOUTH
78,36,2023-05-03 15:39:27,DELIVERED,CENTRAL
79,151,2025-03-13 20:20:56,RETURNED,NORTH
80,217,2024-11-28 13:24:53,SHIPPED,SOUTH
81,207,19-10-2024,CANCELLED,SOUTH
82,69,2024-02-05 14:42:01,DELIVERED,NORTH
83,533,2024-09-09 06:28:04,RETURNED,WEST
84,536,2023-01-20 04:57:20,SHIPPED,WEST
85,103,2023-08-21 11:04:12,DELIVERED,NORTH
86,353,2023-06-06 21:11:47,DELIVERED,WEST
87,39,2025-10-14 04:15:13,DELIVERED,SOUTH
88,412,2023-08-12 11:12:58,DELIVERED,NORTH
89,,2024-05-29 22:59:41,RETURNED,WEST
90,311,01-08-2024,DELIVERED,EAST
91,234,2025-02-02 16:53:33,DELIVERED,SOUTH
92,427,2024-11-19 08:21:39,DELIVERED,CENTRAL
93,417,2023-10-19 22:45:01,DELIVERED,WEST
94,163,2024-08-03 20:22:58,DELIVERED,NORTH
95,537,2025-02-26 06:41:50,PLACED,CENTRAL
96,60,2023-10-27 10:44:31,PLACED,SOUTH
97,281,2023-03-20 12:59:11,CANCELLED,EAST
98,32,2025-02-23 16:28:34,DELIVERED,SOUTH
99,486,2025-07-11 19:33:01,DELIVERED,CENTRAL
100,93,2024-06-18 18:31:59,PLACED,EAST
101,220,2023-03-19 03:07:30,DELIVERED,SOUTH
102,526,2025-11-18 18:18:36,CANCELLED,NORTH
103,178,25-11-2025,CANCELLED,CENTRAL
104,313,2023-12-14 14:45:05,DELIVERED,EAST
105,224,2024-08-07 20:01:19,DELIVERED,WEST
106,105,2025-03-19 18:47:15,DELIVERED,NORTH
107,575,2025-10-25 22:24:03,DELIVERED,CENTRAL
108,345,2024-04-08 15:59:20,DELIVERED,EAST
109,306,2024-03-06 03:01:06,SHIPPED,SOUTH
110,414,2024-01-09 07:06:38,DELIVERED,EAST
111,266,2023-02-09 13:02:28,DELIVERED,WEST
112,195,2023-02-24 20:47:16,DELIVERED,EAST
113,488,2023-12-12 10:18:02,DELIVERED,EAST
114,186,2023-09-22 01:33:43,PLACED,EAST
115,573,2023-07-18 18:06:11,RETURNED,SOUTH
